EDOC-INBOX-2026-01001,app/static/document_uploads/inbox/EDOC-INBOX-2026-01001.pdf,EXA_TBL,First Internal Exam,On 25-02-2026,student,all,2026-02-20 09:55:52.771422
EDOC-INBOX-2026-01005,app/static/document_uploads/inbox/EDOC-INBOX-2026-01005.pdf,EXA_TBL,First Internal Exam,On 5th March 2026,all,all,2026-02-26 09:45:36.376085
EDOC-INBOX-2026-01006,app/static/document_uploads/inbox/EDOC-INBOX-2026-01006.pdf,ACA_EVE,M.Sc. Fest,"On 30th March, 2026 at 2.00 pm",all,PG_MSC_MATH,2026-02-26 10:09:03.477989
EDOC-INBOX-2026-01007,app/static/document_uploads/inbox/EDOC-INBOX-2026-01007.pdf,ACA_DOC,First Internal Exam,desc,hod,all,2026-02-26 10:19:43.626946
EDOC-INBOX-2026-01008,app/static/document_uploads/inbox/EDOC-INBOX-2026-01008.pdf,EXA_TBL,First Internal Exam,desc,all,all,2026-02-26 11:36:38.568554
EDOC-INBOX-2026-01009,app/static/document_uploads/inbox/EDOC-INBOX-2026-01009.pdf,EXA_TBL,First Internal Exam,abcd,all,PG_MSC_MATH,2026-02-26 11:40:05.832193
EDOC-INBOX-2026-01010,app/static/document_uploads/inbox/EDOC-INBOX-2026-01010.pdf,EXA_TBL,First Internal Exam,acbd,all,UG_BVOC_RSCM,2026-02-26 11:51:49.188135
EDOC-INBOX-2026-01011,app/static/document_uploads/inbox/EDOC-INBOX-2026-01011.pdf,ACA_EVE,Alumni Interaction,asdfdsf,all,PG_MSC_MATH,2026-02-26 11:52:16.834398
EDOC-INBOX-2026-01012,app/static/document_uploads/inbox/EDOC-INBOX-2026-01012.pdf,EXA_TBL,First Internal Exam,abcd,student,all,2026-02-26 11:53:22.348456
EDOC-INBOX-2026-01013,app/static/document_uploads/inbox/EDOC-INBOX-2026-01013.pdf,MEET,Annual Day meeting,abcd,faculty,all,2026-02-26 11:53:57.87329
EDOC-INBOX-2026-01014,app/static/document_uploads/inbox/EDOC-INBOX-2026-01014.pdf,MEET,Annual Day meeting,abcd,hod,all,2026-02-26 11:54:06.430938
EDOC-INBOX-2026-01015,app/static/document_uploads/inbox/EDOC-INBOX-2026-01015.pdf,MEET,Annual Day meeting,abcd,faculty,all,2026-02-26 11:54:17.799495
EDOC-INBOX-2026-01016,app/static/document_uploads/inbox/EDOC-INBOX-2026-01016.pdf,MEET,Annual Day meeting,abcd,all,all,2026-02-26 11:54:26.529954
EDOC-INBOX-2026-01017,app/static/document_uploads/inbox/EDOC-INBOX-2026-01017.pdf,OTHER,Alumni Interaction,"...
",all,UG_BBA,2026-02-27 14:35:49.334411
EDOC-INBOX-2026-01018,app/static/document_uploads/inbox/EDOC-INBOX-2026-01018.pdf,ACA_DOC,First Internal Exam,..,faculty,all,2026-02-28 09:45:57.378399
EDOC-INBOX-2026-01019,app/static/document_uploads/inbox/EDOC-INBOX-2026-01019.pdf,EXA_TBL,First Internal Exam,adsdf,all,UG_BBA,2026-02-28 09:46:29.842027
EDOC-INBOX-2026-01020,app/static/document_uploads/inbox/EDOC-INBOX-2026-01020.pdf,EXA_TBL,First Internal Exam,abcd,all,all,2026-03-03 14:56:15.993961
EDOC-INBOX-2026-01021,app/static/document_uploads/inbox/EDOC-INBOX-2026-01021.pdf,EXA_TBL,First Internal Exam,...,all,all,2026-03-03 14:56:51.452096
EDOC-INBOX-2026-01022,app/static/document_uploads/inbox/EDOC-INBOX-2026-01022.pdf,EXA_TBL,Second Internal,asdfsa,all,all,2026-03-05 11:04:55.432258
EDOC-INBOX-2026-01023,app/static/document_uploads/inbox/EDOC-INBOX-2026-01023.pdf,ACA_EVE,Sports Event – “Sports Fiesta”,on 9th march 2026,all,all,2026-03-05 11:14:25.857056
EDOC-INBOX-2026-01024,app/static/document_uploads/inbox/EDOC-INBOX-2026-01024.pdf,EXA_TBL,First Internal Exam,asd,all,all,2026-03-05 11:53:43.359091
